id,date,content
102,2022-09-09 08:59:52+00:00,"['carry', 'jatta', 'shooting', 'started', 'london', 'uk', 'see', 'soon', 'cinema', 'congratulations', 'movie', 'team', 'humble', 'motion', 'picture']"
103,2022-09-09 08:55:50+00:00,"['mourning', 'death', 'british', 'queen', 'elizabeth', 'ii', 'compulsion', 'rashtra', 'nirman', 'party', 'opposes', 'decision', 'goi', 'scni']"
104,2022-09-09 08:55:30+00:00,"['thoughts', 'condolences', 'royal', 'family', 'british', 'friends', 'india', 'ripqueenelizabeth', 'britishhighcommission', 'newdelhi', 'britishcouncilindia']"
105,2022-09-09 08:47:22+00:00,"['say', 'rip', 'remember', 'queenelizabeth', ""'s"", 'fun', 'moments', 'appreciate', 'spunk', 'say', '``', 'how', 'cute', ""''"", 'doilies', 'that', ""'s"", 'that', 'monarchy', 'got', 'ta', 'go', 'one', 'day', 'maybe', 'today', 'state', 'mourning', 'part', 'world', 'spurious', 'homemade', 'gin', 'personal', 'abuse', 'crude', 'naarangi']"
106,2022-09-09 08:39:30+00:00,"['tribute', 'queen', 'legend', 'icon', 'rest', 'easy', 'highness', 'sbjdtobfho']"
107,2022-09-09 08:38:13+00:00,"['sushant', 'bhai', 'agar', 'queen', 'ke', 'saath', 'bhi', 'photo', 'hai', 'phir', 'toh', 'matlab', 'kamaaaaal', 'hi', 'hai']"
108,2022-09-09 08:35:49+00:00,"['seems', 'designed', 'sell', 'rss', 'like', 'indira', 'descendant', 'queen']"
109,2022-09-09 08:27:00+00:00,"['india', 'announces', 'one', 'day', 'state', 'mourning', 'aftermath', 'demise', 'uks', 'queen', 'elizabeth', 'statement']"
110,2022-09-09 08:22:26+00:00,"['rip', 'queenelizabethii', 'remembered', 'skillful', 'nonpartison', 'handling', 'complex', 'poltical', 'issues', 'uk', 'quarter', 'century']"
111,2022-09-09 08:21:28+00:00,"['british', 'flag', 'half', 'mast', 'british', 'high', 'commissioner', 'residence', 'delhi', 'aftermath', 'demise', 'queen', 'elizabeth', 'condolence', 'book', 'opened', 'residence']"
112,2022-09-09 08:11:10+00:00,"['rest', 'peace', 'queen', 'queenelizabethii', 'queenelizabeth', 'queenofengland', 'queenelizabethiimemorial', 'queenisdead']"
113,2022-09-09 08:10:00+00:00,"['bollywood', 'dying', 'death', 'fake', 'tactics', 'negative', 'publicity', 'used', 'promote', 'one', 'factors', 'brahamastra', 'exemption', 'fresh', 'example', 'practice']"
114,2022-09-09 08:04:18+00:00,"['thequeen', 'link', 'britains', 'colonial', 'heritage', 'ever', 'changing', 'global', 'politics', 'world', 'yet', 'constance', 'resolve', 'compared', 'few', 'princess', 'british', 'empire', 'sun', 'never', 'set', 'ceremonial', 'head', 'commonwealth', 'sbzed']"
115,2022-09-09 08:03:53+00:00,"['born', 'princess', 'house', 'windsor', 'queens', 'story', 'evolves', 'around', 'remarkable', 'change', 'fate', 'culminates', 'astonishing', 'record', 'service', 'people', 'country', 'passing', 'away', 'queenelizabeth', 'era', 'comes', 'end', 's']"
116,2022-09-09 07:55:45+00:00,"['give', 'better', 'idea', 'cost', 'living', 'different', 'cities', 'uk', 'student', 'please', 'note', 'cost', 'would', 'vary', 'depending', 'spending', 'habits', 'students', 'end', 'spend', 'significantly', 'lesser', 'figures', 'mentioned', 'reel', 'sst']"
117,2022-09-09 07:42:21+00:00,"['saal', 'aap', 'raaj', 'mai', 'kyu', 'nahi', 'kar', 'paye', 'ye', 'queen', 'ke', 'marne', 'ki', 'wait', 'kar', 'rehe', 'the']"
118,2022-09-09 07:35:23+00:00,['elizabeth']
119,2022-09-09 07:34:20+00:00,"['sympathy', 'queen', 'elizabeth', 'death', 'family', 'rulers', 'killed', 'millions', 'indians', 'india', 'passed', 'away', 'like', 'others', 'nothing', 'special', 'queenelizabethii', 'queenelizabethiimemorial']"
120,2022-09-09 07:29:29+00:00,"['queen', 'truly', 'dignity', 'grace', 'personified', 'may', 'soul', 'rest', 'peace', 'queen', 'elizabeth', 'ii', 'died', 'aged']"
